Timestamp,rainfall,pressure,temperature,humidity
1/22/2024 11:40,0,823.3,20,75
1/22/2024 11:50,0,824,20.6,73
1/22/2024 12:00,0,823.7,21.7,70
1/22/2024 12:10,0,823.6,21.5,70
1/22/2024 12:20,0,823.7,21.5,70
1/22/2024 12:30,0,823.6,21.2,73
1/22/2024 12:40,0,823.9,21,73
1/22/2024 12:50,0,823.1,21.1,72
1/22/2024 13:00,0,823.5,20.9,74
1/22/2024 13:10,0,822.7,20.9,75
1/22/2024 13:20,0,822.4,20.9,76
1/22/2024 13:30,0,822.4,20.6,76
1/22/2024 13:40,0,822.7,20.7,76
1/22/2024 13:50,0,822.8,20.6,76
1/22/2024 14:00,0,822.2,20.8,75
1/22/2024 14:10,0,822.6,20.8,73
1/22/2024 14:20,0,822.3,21,71
1/22/2024 14:30,0,821.7,21.4,70
1/22/2024 14:40,0,821.4,21.7,69
1/22/2024 14:50,0,821.8,21.4,70
1/22/2024 15:00,0,822,21.3,70
1/22/2024 15:10,0,822,21.2,69
1/22/2024 15:20,0,821.9,21.4,68
1/22/2024 15:30,0,822.1,21.8,68
1/22/2024 15:40,0,821.4,21.7,67
1/22/2024 15:50,0,821.7,21.8,68
1/22/2024 16:00,0,822.2,22.2,67
1/22/2024 16:10,0,821.6,22.5,67
1/22/2024 16:20,0,822,22.6,65
1/22/2024 16:30,0,821.9,22.8,65
1/22/2024 16:40,0,821.9,22.6,62
1/22/2024 16:50,0,822.5,22.5,61
1/22/2024 17:00,0,822.2,22,64
1/22/2024 17:10,0,822.1,21.3,73
1/22/2024 17:20,0,822.1,20.8,77
1/22/2024 17:30,0,822.1,20.2,75
1/22/2024 17:40,0,822.2,19.7,77
1/22/2024 17:50,0,822.1,19.3,76
1/22/2024 18:00,0,822.3,19,76
1/22/2024 18:10,0,822.5,18.9,71
1/22/2024 18:20,0,822.4,19.2,70
1/22/2024 18:30,0,822.6,19.2,72
1/22/2024 18:40,0,822.6,18.8,74
1/22/2024 18:50,0,822.7,18.4,75
1/22/2024 19:00,0,823.1,18.8,72
1/22/2024 19:10,0,823.3,19.2,70
1/22/2024 19:20,0,823.8,18.8,75
1/22/2024 19:30,0,823.7,18.5,78
